,movie_title,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,face_number_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score
0,Avatar,723,178.0,10,855,1000,760505847.0,886204,4834,,3054,237000000.0,2009,936,7.9
1,Pirates of the Caribbean: At World's End,302,,563,1000,40000,309404152.0,471220,48350,,1238,300000000.0,2007,5000,7.1
2,Spectre,602,148.0,20,161,11000,200074175.0,275868,11700,1,994,245000000.0,2015,393,6.8
3,The Dark Knight Rises,813,,22000,23000,27000,448130642.0,1144337,106759,,2701,250000000.0,2012,23000,8.5
4,John Carter,462,132.0,475,530,640,73058679.0,212204,1873,1,738,263700000.0,2012,632,6.6
5,Spider-Man 3,392,156.0,23,4000,24000,336530303.0,383056,46055,,1902,258000000.0,2007,11000,6.2
6,Tangled,324,,15,284,799,200807262.0,294810,,1,387,260000000.0,2010,553,7.8
7,Avengers: Age of Ultron,635,141.0,10,19000,26000,458991599.0,462669,92000,4,1117,250000000.0,2015,21000,7.5
8,Avengers: Age of Ultron,635,141.0,10,19000,26000,458991599.0,462669,92000,4,1117,250000000.0,2015,21000,7.5
9,Harry Potter and the Half-Blood Prince,375,153.0,282,10000,25000,301956980.0,321795,58753,3,973,250000000.0,2009,11000,7.5
10,Batman v Superman: Dawn of Justice,673,183.0,,2000,15000,330249062.0,,24450,,3018,250000000.0,2016,,6.9
11,Superman Returns,434,169.0,,903,18000,200069408.0,240396,,2,2367,209000000.0,2006,10000,6.1
12,Quantum of Solace,403,106.0,395,393,451,168368427.0,330784,2023,1,1243,200000000.0,2008,412,6.7
13,Pirates of the Caribbean: Dead Man's Chest,313,151.0,563,1000,40000,423032628.0,522040,48486,2,1832,225000000.0,2006,5000,7.3
